Total segments: 1383
Duration: 3615s = 60:14

[0] 0:00 | בוקר טוב עמית ויונתן.
[437] 18:52 | שמים לכם מוזמנים לתרום ולתמוך בפעילות של
[438] 18:55 | לקט ישראל. איזה איזה בריא מזל אנחנו
[439] 18:58 | שאנחנו פה בשטפ שהוא הוא דו כיווני והוא
[440] 19:02 | ערקי
[441] 19:03 | >> נכון
[442] 19:04 | >> ומאזיננו גם זוכים פה מהדבר הזה כי מי
[443] 19:07 | שבטעות לא מכיר את המפעל הזה אז הנה אמיתי
[444] 19:10 | שם לכם עכשיו זרקור על משהו רב חשיבות
[445] 19:15 | >> ובאמת אם חושבים על איך אנחנו בבית עושים
[446] 19:17 | את הדבר הזה אז א אמרו החברים בלקת ישראל
[447] 19:21 | בואו נדבר קצת על הסיפור הזה של איך אנחנו
[448] 19:24 | כל אחד מאיתנו ביום יום מציל א מזון זה
[449] 19:26 | כמובן מה שנקרא צמבוז,
[450] 19:28 | >> איך אנחנו מצמבזים ספציפית במגירת הירקות
[451] 19:31 | יש לכם איזה טיפ א לאיך אתם איך אתם
[452] 19:34 | שומרים לאורך זמן על הפירות והירקות שלכם
[453] 19:36 | או לחלופין מה אתם עושים כשהם קרובים א
[454] 19:39 | קרובים
[455] 19:39 | >> אה לא אז הטיפים שלי הם כלליים קודם כל
[456] 19:41 | לדעת איפה כל ירק ופרי צריך להיות כי
[457] 19:44 | אנשים מאחסנים לא נכון וזה מקצר את החיים
[458] 19:46 | באופן משמעותי
[459] 19:47 | >> נכון מאוד
[460] 19:48 | >> א ודבר שני לי היה לאורך הרבה זמן אני
[461] 19:51 | מונה שאני קצת חוטת בזה עכשיו היה לי יום
[462] 19:53 | בשבוע עם תזכורת של היום לעשות בדיקת
[463] 19:55 | שעריות במקרר ולהכ כין מהם משהו
[464] 19:57 | >> באמת סכורת אקסטרים
[465] 19:59 | >> כן
[466] 20:00 | >> וואו מרשים
[467] 20:01 | >> כן כן אבל אבל זה גם הכי מוציא יצירתיות
[468] 20:03 | שזה מה שכיף בדברים האלה כי אתה מאלתר
[469] 20:06 | מהקיים אתה לא מוציא יצירתיות כמו תזכורת
[470] 20:08 | ביומני
[471] 20:09 | >> לא לא מהמקום הזה מהמקום של עכשיו אני
[472] 20:11 | ניגשת למקרר וזה מה שיש לי ותתמוד צורך
[473] 20:15 | פחות זה גם דבר שהקפדנו ממש כאילו להקים
[474] 20:19 | כן לקנות פחות בדיוק שבכל קנייה גז א א
[475] 20:22 | כמה שאפשר כמה שצריך א ויש את הטכניקות
[476] 20:26 | הידועות כל הירוקים פטרוזיל כוסברנשמיר
[477] 20:29 | וכולי נעטפים בניר בנייר סופג לך וזה באמת
[478] 20:34 | מעריך את חייהם האמת שהניר הסופגל לך עובד
[479] 20:38 | עובד עוד עם עוד סופג באופן כללי בסופו של
[480] 20:40 | דבר הוא אחד מחומרי הגלם החשובים במטבח
[481] 20:44 | >> הוא מעריך הוא מעריך חיים יודע כל מיני
[482] 20:46 | בלבלים וזה שומר על הפריחות שלהם גם
[483] 20:48 | לפונים שומר על זקיפותם
[484] 20:51 | זה עובד המלפפונים כפית אני לא מאמין או
[485] 20:54 | ביפנים לפחות שזה אולי קצת פחות ל'נר שלנו
[486] 20:56 | כאן אבל אם שומרים אותם בתוך הניילון שלהם
[487] 20:59 | הם מחזיקים נצח
[488] 21:00 | >> הניילון האב של בוקום כזה שמ לא פשוט כל
[489] 21:03 | פעם שאני פותחת אני מכסה את זה שוב
[490] 21:04 | בניילונית נצח זה
[491] 21:06 | >> אז אני את המלפפונים שלי שוטף ואז נותן
[492] 21:09 | להם ממש להתייבש ועוטף שניים או שלושה
[493] 21:12 | ביחד ב בנייר
[494] 21:15 | סופג ואז כל פעם שאני מכין סלט אני פשוט
[495] 21:17 | שולב כלי שלושה מלפפונים ביחד ומכין את
[496] 21:19 | הסלט ואז השאר נה נהיה סופק זה זה כן זה
[497] 21:23 | ממש חשוב נהר סופק ונה רפיה הם פשוט שני
[498] 21:25 | החומרים הכי חשובים במטבח א וכמובן כל
[499] 21:29 | הדברים שידעו עגבניות לא במקרר תפוחי אדמה
[500] 21:31 | במקומות חשוכים א כן וש
[501] 21:35 | >> אולי לאט לאט נאסוף לכם טיפים כאלה
[502] 21:37 | >> וברור שיבלתם שבוע נחשוב על מה עושים מה
[503] 21:40 | עושים עם השעריות ועם מה שמתקרב לפירקו כי
[504] 21:43 | עוברים לחדשות א קודם כל
[505] 21:45 | >> עושים מטבוחה קודם כל בסדר אחרי זה אחרי
[506] 21:47 | זה אחרי זה
[507] 21:49 | >> הלכתי בשוק הכרמל שבוע שעבר וראיתי באחד
[508] 21:51 | הדוכנים כזה משמחים דוד של מטבוחה על
[509] 21:54 | לשניצל היה מאוד יפה לראות את זה ממש כזה
[510] 21:57 | כמו
[511] 21:57 | >> שהוא בא איך הוא עושה את את הדוד הזה הוא
[512] 22:00 | הולך לבחור מהדוכן עם העגבניות ואומר לו
[513] 22:02 | מה מה כבר מה מה לא ראוי לשימוש מה לא
[514] 22:05 | ראוי למכירה לוקח את זה ומזה מכין מתבוכה
[515] 22:07 | ככל שהן שחורות רקובות יותר ככה מטבוכה
[516] 22:10 | טובה יותר
[517] 22:11 | >> וואי אני קבדנית בדברים האלה אני עושה
[518] 22:13 | סינון
[519] 22:14 | >> א חדשות חברים יוסי שיטריט א
[520] 22:19 | >> מדליף מתזר אותנו במסעדה חדשה עוד אין שם
[521] 22:23 | עוד אין שום דבר בר עוד אין פרטים אבל זה
[522] 22:25 | כזה אני לא יודע אם הוא בכלל תכנן שזה כבר
[523] 22:27 | יצא החוצה אבל יוצא לדעתי בכלל מהכיוון של
[524] 22:29 | משרד האדריכלים של פיצו קדם שכמובן בנה את
[525] 22:32 | היבה ועוד הרבה מאוד מסעדות נהדרות בישראל
[526] 22:35 | אז זה מסעדה חדשה שהולכת להיפתח לדעתי עוד
[527] 22:36 | משהו כמו חצי שנה במתחם דווינצ'י א שזה
[528] 22:41 | בתרגום למקומית א איפה שקריה בתל אביב
[529] 22:44 | >> איפה נפל הטיל האיראני המגדלים
[530] 22:46 | >> איפה נפל אחד הטילים
[531] 22:47 | >> אחד הטילים כן א וממה שאנחנו מבינים זה
[532] 22:50 | הולך להיות מן א מסעדת אש כמובן מסדת אש
[533] 22:55 | גלויה כזאת כנראה שיפודים בשר א מאוד
[534] 22:59 | מסקרן עודן שם וכמובן אני מניח ש ש ברגע
[535] 23:02 | שיהיה אז נביא לפה נגרור את יוסי לאולפן ו
[536] 23:06 | >> כן אגב חשוב לי מהאילוסטרציות לפחות זה
[537] 23:09 | נראה משהו יחסית כזואלי
[538] 23:11 | >> כן אני חושב ש אני חושב שזה מתבקש גם
[539] 23:13 | כלומר
[540] 23:14 | >> לפי הלוקישן והכל
[541] 23:15 | >> גם לפי הלוק גם לפי הגודל כי מדובר בחלל
[542] 23:17 | גדול א וגם לפי העובדה שכן ליוסי כבר יש
[543] 23:21 | את הנקרא לזה הבר יין המשודרג הבנדיט ויש
[544] 23:24 | את היב שזה כמובן מסד דגלזה זה מין
[545] 23:27 | פורטפוליו כזה או לא יודע איך להגדיר את
[546] 23:29 | זה כאילו שמאוד הגיוני שיהיה לשפ כמו יוסי
[547] 23:33 | א מעניין מעניין מאוד לאן לאן הדבר הזה
[548] 23:36 | יכול ללכת א ועוד מקום א אמרנו שיפודים זה
[549] 23:40 | זה לא הולך זה לא נעלם ולא הולך לשום מקום
[550] 23:44 | גם יונתן שרביץ פותח את המקום שלו
[551] 23:47 | כשיפודיה בצהריים בסביון איך קוראים
[552] 23:49 | למסעדה טאורוס נכון היית שם כבר
[553] 23:53 | לא לא הייתי שם ואני חושב שזה כתם גדול
[554] 23:56 | מאוד עליי אחד כי אני מעריץ את שרוויט
[555] 23:59 | ומעריץ את האוכל שלו לפני שאני מעריך אותו
[556] 24:01 | מאוד כבן אדם ערקי מהמדרגה הראשונה א כל
[557] 24:05 | התוצרים שלו הן מעולים והטאורוס הזה נראה
[558] 24:08 | פגז ואני מודה שהתפריט צהריים הזה עוד
[559] 24:11 | יותר כיפי א
[560] 24:13 | >> כי זה קצת פחות פחות סמוקאס וקצת יותר
[561] 24:15 | גריל ישראלי נכון
[562] 24:16 | >> כן אבל אבל הוא אבל הוא יודע לזגזג גם ככה
[563] 24:19 | וכל האלמנטים של הסמוקאס נראים סבבה וכל
[564] 24:22 | מיני תקוס כאלה שהוא מגיש בערב וכאן
[565] 24:24 | בצהריים באמת לוקח קצת לכיוון אחר של א
[566] 24:27 | שיפוד שיפודי קבה פרגית שיפודי עוף אה א
[567] 24:30 | קריחים מעניינים תן סתם קריספי צ'יקן הסדו
[568] 24:33 | מפורק עוף מפורק כל אחד מהם עם איזשהו
[569] 24:35 | טוויסט כזה שאני בטוח ש שעשוי ממש א מגניב
[570] 24:40 | ואני ממש מת להגיע לשם אל המתחם הזה
[571] 24:42 | הפודקורט המטורף שפתאום לה שם כזה יממה
[572] 24:46 | רק לאכול שם כזה
[573] 24:47 | >> זה כבר איזה ארבע מסדות כל מרק תאילנדי
[574] 24:49 | לארוחת בוקר הוא כבר יש לו ממש קומפלקס
[575] 24:52 | משלו כן גם מילה וגם הגלידה וגם הזה לגמרי
[576] 24:56 | >> א והתאילנדי החדש דיברתם עליוכן
[577] 24:58 | >> בסדר מאוד יפה
[578] 24:59 | >> אני חושב שהעניין הזה של המסעדות גרילה
[579] 25:01 | החדשות א בעצם מה שאנחנו רואים פה זה איזה
[580] 25:05 | סוג של א שלב חדש באבולוציה של מה שאולי
[581] 25:09 | פעם היה כזה המסעדה המזרחית ואם נניח לפני
[582] 25:12 | 20 שנה דיברנו על התחייה של הבישול הערבי
[583] 25:15 | היותר ביתי שזולג למסעדות עכשיו אני חושב
[584] 25:19 | שהציפייה זה קצת לחזור היסודות של הסלטים
[585] 25:22 | שיפודים אבל לעשות את זה משודרג כלומר מה
[586] 25:25 | שאנחנו אומרים נגיד בגיטה ואצל מחנה יהודה
[587] 25:28 | אז מקום חדש שנפתח ממש עכשיו בוודיערה
[588] 25:31 | כביש 65
[589] 25:33 | מול הכניסה למחנה 80 למי שזה אומר משהו או
[590] 25:37 | עשה שם טירונות או בעיקר עשתה שם טירונות
[591] 25:40 | אני חושב א לשפ שממש לפני שנה דיברנו איתו
[592] 25:45 | כאן ואז היה נשמע שהוא בכלל עם הפנים
[593] 25:47 | החוצה אבל למרבה השמחה הוא שוב איתנו ולשף
[594] 25:50 | הזה זה קוראים חמודי אוקלה בוקר טוב חמודי
[595] 25:54 | >> בוקר טוב אמית
[596] 25:55 | >> אלן אלן
[597] 25:55 | >> בוקר טוב
[598] 25:56 | >> אלן שלום
[599] 25:57 | >> צריך להגיד שקודם כל אנחנו מאוד שמחים
[600] 25:59 | לדבר איתך כי בפעם הקודמת שדיברנו איתך זה
[601] 26:02 | היה בדיוק לפני שנה שנה וחודש למעשה ואז א
[602] 26:06 | סגרת את המסעדות שלך בחיפה ויותר מזה גם
[603] 26:09 | אמרת שאתה מתכוון לעזוב את הארץ
[604] 26:13 | >> נכון נכון א זה היה בדיוק לפני שנה כל
[605] 26:16 | הפרוט מלחמה כל הבלאגן שהיה
[606] 26:20 | האמת תקופה מאוד טובה כמעט שנה בארצות
[607] 26:23 | הברית תקופה מאוד מאוד טובה אבל נלצנו
[608] 26:26 | לחזור אשתי יש לה עבודה כאן ונולד לי ילד
[609] 26:28 | הוא בן חודשיים וחצי שאני לא אשן בלילה
[610] 26:31 | עכשיו
[611] 26:32 | ותכננו תוך כדי לעשות אתה יודע צריך לעבוד
[612] 26:34 | אז א יש פרויקט חדש שנקרא גריל 65 הוא
[613] 26:39 | נקרא ב הוא נמצא בפרדשחנה המקום הוא
[614] 26:43 | שיפודיה אבל הוא נותן מענה די רחב מכל מה
[615] 26:46 | שקשור לאדמה ופרדס שכל הדברים שגודלים
[616] 26:50 | בסביבה שם וגם בשרים שאתה יודע הכל עולה
[617] 26:54 | על גכלים אין פשוט במטבח א תנור או משהו
[618] 26:58 | יש או גריל או שצליע זה מה ש זה מה שאנחנו
[619] 27:01 | עושים
[620] 27:02 | >> א מה שנקרא קנית אותי א מיד לגמרי זה נשמע
[621] 27:06 | מעולה כן גם זה תקופה שאני אתה יודע כל
[622] 27:09 | המדינה עולה על שיפוט כולם משפים עכשיו
[623] 27:12 | מדינה שיפ שהוא מביא לנו את שם הפרק
[624] 27:14 | >> אז אני מניח חמודי בדיוק כולנו כולנו מה
[625] 27:16 | שנקרא משופדים היטב בשנה
[626] 27:21 | ואז אתה בא מהמקום הזה ואומר טוב רגע איך
[627] 27:23 | אני מביא פה יציאה הרי אני צריך להביא פה
[628] 27:26 | משהו משלי עם איזה חתימה מה מייחד את
[629] 27:28 | השיפוד של חמודי
[630] 27:31 | >> קודם כל אנחנו עושים דברים ש ממש אותנטיים
[631] 27:36 | מבחינת חומרי גלם מבחינת מתכונים אנחנו
[632] 27:39 | עושים את הקבב של ה הקבב אורפלי האמיתי
[633] 27:42 | אנחנו עושים קבב בגלל אנחנו משתמשים
[634] 27:45 | בתלעים שגודלים בהרי כרמל אנחנו עובדים
[635] 27:47 | בדברים אתה יודע יודע שרוב הדברים הם
[636] 27:49 | מקומיים בסך הכל מהמטבח הזה והשיפודים
[637] 27:53 | אתה יודע זה מטבח מיקומי בוא נקרא לזה לא
[638] 27:56 | משנה אבל א בעיניי זה החומר גלם והאיכות
[639] 28:00 | והטכניקה של הבישול כאילו כי אם זה עולה
[640] 28:03 | על הגריל פחמים אז זה מה ש מה שמייחד את
[641] 28:06 | השיפודיה שלי זה מקום שנותן א שולחן רחב
[642] 28:11 | של דברים אתה מקבל 24 מזטים שזה אחד מהם
[643] 28:14 | זה סלט לבנה והסלט עדשים ום ג'דרה ויש חם
[644] 28:18 | וגם סמבוסק של גבינה וגם טבולי וגם חתוש
[645] 28:22 | כל אתה יודע אתה מקבל שמש מטורף ממש זהו
[646] 28:27 | בבדנו את יונתן אגב רגע זה עוד לפני זה
[647] 28:29 | לפני שיונתן עכשיו נכנס בטח לסל האינסטגרם
[648] 28:32 | שלכם ורואה את הסרטון שלך מכין עולש אני
[649] 28:35 | מחכה לו כן כן כן ואז אנחנו נכנסים עכשיו
[650] 28:38 | פה כאילו הכיתוף שלי סליחה שאני יוצר אותך
[651] 28:40 | לא אז עכשיו זה כאילו בסוגריים קללות ואני
[652] 28:44 | אומר כאילו וואי הייתי אתמול בפרדסחנה ולא
[653] 28:47 | ולא הגעתי
[654] 28:48 | אגב אגב זה מקום מקום הופך להיות מקום
[655] 28:51 | מטורף לא מטע תסביר תסביר מה הקטע מה של
[656] 28:55 | אנשים כאילו אתה יודע זה נמצא באמצע בין
[657] 28:59 | מרכז לבין חיפה לבין צפון אז מתפתחים שמה
[658] 29:03 | הרבה מקומות יש תגליד עירייה מפורסמת יש
[659] 29:06 | עלמבר יש המון מקומות שאגב אני מתחיל
[660] 29:09 | לבלות שמה וזה מדהים מדהים בעיניי כאילו
[661] 29:12 | ללכת לשם ולבלות זה אזור חדש
[662] 29:14 | >> הייתי אתמול בעורבה של האומנים
[663] 29:17 | מקומות איזה מקומות יפים ואנשים והאמת
[664] 29:21 | שאתה יודע גם גם יהודים וערבים שם מהאזור
[665] 29:24 | נראה לי שגם גם מבלים ביחד זה גם דבר שהוא
[666] 29:27 | חשוב שילוב שילוב ממש מדהים ואני רוצה
[667] 29:30 | להגיד לך שאגב הקהל עצמו הוא רוצה קצת
[668] 29:34 | לרגע אני חושב שגם בגלל התקופה שעברנו
[669] 29:37 | אותה ולהגיד שלבוא לאכול שיפודים או לבוא
[670] 29:40 | לאכול על האש זה מרגיע אנשים לא רוצים
[671] 29:42 | דברים א כבדים או דברים אתה יודע שמיוחדים
[672] 29:46 | מדי או ש אתה יודע רוצים ככה לחזור קצת
[673] 29:49 | אחורה ולהגיד וואלה הנה יש לנו את הדבר
[674] 29:52 | הכי טוב בעיניים
[675] 29:54 | יותר האמת אני גם הולך עם ההרגשה שלי
[676] 29:57 | כאילו כל הזמן אתה יודע יש את הקטע הזה של
[677] 30:00 | לשף ותתחיל לעשות דברים מורכבים ותשפט זה
[678] 30:04 | עם זה עם זה עם זה בסוף מה שמנצח חבר'ה זה
[679] 30:07 | הדבר האמיתי או העמוק יותר הקבב האותנטי
[680] 30:11 | השיש טעוק האותנטי באמת לעשות את זה
[681] 30:14 | באיכות וו בבטריות וזה זה מה שצריך ואגב
[682] 30:18 | גיליתי את זה בארצות הברית אני נדהמתי
[683] 30:21 | כמעט שנה שם אנשים מטורפים על האוכל
[684] 30:24 | הישראלי ועל המטבח שלנו את צריך אי אפשר
[685] 30:27 | להקל את זה את הרמות הזה כמה הם מעריכים
[686] 30:30 | חומוס כמה הם מעריכים שיפודים כמה הם
[687] 30:32 | מעריכים את המטבח שלנו את הסומק את הפצלים
[688] 30:35 | את הדברים באמת כי זה הכי טעים
[689] 30:39 | >> בסופו של דבר אבל אני רוצה אני רוצה שנייה
[690] 30:41 | לשאול אותך חמודי בדיוק בגלל גם מה שאמרנו
[691] 30:44 | קודם כשדיברנו איתך לפני שנה וקצת א נשמעת
[692] 30:49 | אחרת כלומר היה בך בעיניי ובכולנו לפני
[693] 30:52 | שנה משהו פנימי שנשבר אפשר להגיד לגבי ה
[694] 30:57 | היכולת לחיות פה ולחיות פה ביחד ועכשיו
[695] 31:01 | אתה עם מסעדה חדשה במש כזה על כביש ודערה
[696] 31:05 | >> איך זה בא לידי ביטוי איך אתה מרגיש כתבתי
[697] 31:08 | אגב שכתבתי לא יודע אם שמתם לב על הצלחות
[698] 31:11 | כתבתי וואדערה אני חושב שוהרה צריך לחזור
[699] 31:14 | להפעם אתה יודע פעם לפני 20 שנה, 25 שנה
[700] 31:17 | שאז אל בבור התחיל, כולם היו עוצרים שם
[701] 31:20 | והיו אוכלים כולנו, אני זוכר שכולנו היינו
[702] 31:22 | אוכלים שם, שזה בעיניי אנחנו צריכים להרים
[703] 31:25 | את השברים ולאסוף את הכל ולחזור ולעשות את
[704] 31:28 | הדברים עמוק יותר ובגלל זה צריך לחזור
[705] 31:31 | לאוכל האמיתי האשי, לא עכשיו להתחיל, אתה
[706] 31:34 | יודע, להתחיל תמיד טוב להלסות מנות
[707] 31:36 | מורכבות וכאלה. אני בעיניי אישית אישית מה
[708] 31:39 | שאני לוקח את זה השבר הזה הוא שבר מאוד
[709] 31:43 | עמוק שצריך לחזור איתו. הרבה יותר אחורה
[710] 31:45 | גם באוכל גם בגישה גם בהכל נכון לפני שנה
[711] 31:49 | וקצת נשברתי היה פה משבר מטורף היה פה
[712] 31:53 | מלחמה שכולנו סבלנו ממנה כולנו איבדנו
[713] 31:56 | אנשים כולנו נלחמנו כולנו עשינו באמת אני
[714] 32:00 | יכול להגיד לכם שאז לא הצלחתי לספר הספק
[715] 32:02 | שלי שהיה מביא לי א חלב וגבינות מרמת
[716] 32:05 | הגולן הזכרנו לו פה דירה בחיפה אז כי לא
[717] 32:09 | כי הוא היה מפונה הבאתי אוכל לאנשים
[718] 32:12 | שעזרתי להם כדי לבוא ולאכול עם כל זה היה
[719] 32:16 | בי משהו שנשבר שראיתי את המלחמה שהתחילה
[720] 32:19 | עם לבנון בהתחלה אמרנו בדרום טוב טוב זה
[721] 32:21 | לא הגיע אלינו עד שזה ראיתי שזה הגיע
[722] 32:24 | אלינו וכן הגיע וכן זה השפיע זה שבר אותי
[723] 32:27 | אמת אני עובד כל יום הייתי 20 שעות ביום
[724] 32:31 | ואתה אתה יודע איזה הרגשה זו לעבוד ולתת
[725] 32:33 | ובסוף אתה מגלה וואלה פאקינ הכל הולך
[726] 32:36 | >> כן
[727] 32:36 | >> זה זה זה הביא אותי למקום הכי לא נכון
[728] 32:40 | ואמיתי אני אומר לך עם ההרגשה אני נורא
[729] 32:42 | רציתי
[730] 32:43 | לעשות שנה שנתיים שלוש אפילו בארצות הברית
[731] 32:47 | ואשתי
[732] 32:49 | אומרת לי תשמע אני יודעת מי אתה אני יודעת
[733] 32:51 | איפה נולדת אני יודעת איפה גדלת בוא תעזוב
[734] 32:56 | זה לא זה אני יודעת ממה אתה אוהב אני
[735] 32:58 | יודעת שזה אני אני יודעת מאיזה הר באת
[736] 33:02 | ואיפה ואיפה אתה מטייל אני כמעט כל שבוע
[737] 33:05 | עולה להר ארבל למקום שנולדתי בו איפה כפר
[738] 33:08 | מר שמה זה דברים שגדלנו אליהם אי אפשר אי
[739] 33:11 | אפשר לוותר עליהם אם זה אני משל שלב עדיין
[740] 33:13 | העבודות בארצות הברית אבל אני חושב שהיום
[741] 33:16 | באמת יש לכולנו אחריות בתוך החלק הזה
[742] 33:19 | והמטבח יכול להביא השפעה על כולנו להרים
[743] 33:22 | שברים ולעשות את הדברים כאילו במרמה הכי
[744] 33:27 | לחזור אחורה בצ'ידי
[745] 33:28 | >> ונמר אמן ונמר אמן במצבים כאלה של שבר
[746] 33:31 | באמת מה שנדרש זה לחזור אל הבסיסור
[747] 33:34 | אנחנו רק רוצים לבדוק אם כבר בהתחלה אתה
[748] 33:37 | מרגיש את הפרגון הזה מכל א מכל קצוות
[749] 33:41 | האוכלוסיה מה שנקרא אמת אמת אמת אמת אנחנו
[750] 33:45 | כבר חודש וחצי התחלנו לא פרסמתי כלום לא
[751] 33:48 | עליתי אפילו לאינסטגרם אבל א משהו קרה
[752] 33:52 | השבוע
[753] 33:52 | >> בים ברגליים
[754] 33:53 | >> כן שמשהו קרה בשבוע אמרתי טוב אני צריך
[755] 33:56 | לעשות את זה ניסיתי לעשות את זה בשושו
[756] 33:58 | האמת עמית אתמול ששלחת לי אני לפני יומיים
[757] 34:01 | חשבתי עליך ואני כל הזמן עוקב אחרים וגם
[758] 34:04 | שהייתי בארצות הברית הייתי שומע אתזה עם
[759] 34:06 | כולם באמת זה מדהים לשמוע את כולם
[760] 34:08 | והסיפורים שאתם מביאים ומי השף הכי טוב
[761] 34:11 | ומי ישף השנה וזה בעיניי זה משהו שמאוד
[762] 34:14 | מיוחד וצריך תמיד לעשות את זה
[763] 34:16 | >> יאללה
[764] 34:17 | >> אה כן
[765] 34:18 | >> אז גם אנחנו קיבלנו מחמאות גם יצאנו
[766] 34:20 | אופטימים גם קיבלנו מחמאות גם יונתן כמעט
[767] 34:22 | איבדנו אותו כי הוא עוד שנייה יוצא
[768] 34:24 | >> אני בתוך שולי של ריר מחכה לו מחכה לו
[769] 34:27 | יאללה חכה
[770] 34:28 | >> לו א חמודי ה אוקלה א אנחנו שמחים שאתה
[771] 34:30 | שוב איתנו א תודה רבה כניס לנו רוח
[772] 34:34 | אופטימית על הבוקר נכון חברים מה זה
[773] 34:37 | >> איזה ויב וואו
[774] 34:38 | >> אה תודה רבה
[775] 34:39 | >> תודה תודה כן תודה
[776] 34:41 | >> תודה תודה כל טוב ביי
[777] 34:43 | >> אה אגב יש עוד ניוז מאוד מעניין אם ככה
[778] 34:45 | דיברנו עם חמודי והוא חזר ארצה יש לנו
[779] 34:49 | דווקא
[780] 34:51 | לא יודעת אם לקרוא לזה אקזיט או זה אבל
[781] 34:53 | בשורה מאוד משמחת של מישהו שהיה פה ועכשיו
[782] 34:56 | מתרחבים החוצה מיאמי וניו יורקה על המפה
[783] 34:59 | >> עם בשר כשר
[784] 35:01 | >> הפיטמסטר
[785] 35:01 | >> הפיטמסטר
[786] 35:02 | >> בכלל בכלל מיאמי קודם כל מסתמנת כרגע כ אם
[787] 35:07 | ב70 וב80 היה לוס אנג'לס מיאמי כרגע זה
[788] 35:10 | המקום מקום החדש נקרא לזה שאליו יורדים
[789] 35:13 | הישראלים או לאליו פונים פונים הישראלים
[790] 35:16 | אז הפיט מסטר מתחילים מה שנראה כמו סניף
[791] 35:20 | במיאמי הם מבינים גם מה הפרסומים שלהם שיש
[792] 35:22 | תוכנית בהמשך גם להגיע לניו יורק אבל כרגע
[793] 35:25 | ממש מיאמי על הפרק א סיפור הצלחה די מטורף
[794] 35:30 | די מהיר גם העניין הזה הם התחילו בארץ
[795] 35:33 | לפני כמה שנים ספורות
[796] 35:36 | >> א 2019 סוף 2019 ארבעה סניפים בעצם בישראל
[797] 35:42 | בפתח תקווה בירושלים
[798] 35:44 | באר שבע ובאלונים כזה
[799] 35:47 | >> כן ומי אולי לא מוכר עם הקונספט זה סוג של
[800] 35:49 | א משתה בשרים שכזה מופע בשרים שכזה לא
[801] 35:54 | מסדלת בשר רגילה בקוט של הה
[802] 35:57 | >> לא לא הצלחנו היה לנו איזה פעם שניסינו
[803] 36:00 | והיה סיפור עם הזמנת מקום א זה עניין
[804] 36:02 | מורכב מדהים כן רשימות המתנה וכאלה ממש
[805] 36:07 | >> א תשמע לעשות דבר דבר כזה ולהגיע לארצות
[806] 36:10 | הברית א ודרום ארצות הברית
[807] 36:13 | >> צריך לומר החברה החבר'ה של קרנבל של בשר
[808] 36:17 | גם עושים אירועים בארצות הברית כבר תקופה
[809] 36:20 | לא קצרה
[810] 36:21 | >> וואלה
[811] 36:21 | >> א כן בכמה
[812] 36:22 | >> מי זה קרנבל של בשר
[813] 36:23 | >> אה קרנבל של בשר זה אוהד וגילי שעכשיו זה
[814] 36:27 | רק אחד מהם שעושה אירועים בארצות הברית
[815] 36:31 | בעיקר בטקסס האמת באוסטין א יחד עם שפים
[816] 36:35 | ישראלים הרבה פעמים שהוא מביא מהארץ וגם
[817] 36:37 | עם השף איתמר אברהמוביץ' שנהדר שיש לו א
[818] 36:40 | קייטרינג מאוד מאוד מצליח באזור נאפה בכלל
[819] 36:43 | א וזה עובד מדהים כלומר אני אני רואה כזה
[820] 36:45 | סרטונים של משפיעים אמריקאים שהיו
[821] 36:47 | באירועים שלהם וכזה עפים ואני חושב שבהקשר
[822] 36:50 | הזה יש לחבר'ה של פיט מסטר הרבה מה למכור
[823] 36:53 | לאמריקאים כי ברגע שאתה לוקח את ה אני
[824] 36:56 | נקרא לזה החוצפה הישראלית הזאת של לבוא
[825] 36:58 | ולהאכיל בידיים והכל הוא נורא כזה א in
[826] 37:02 | your face וו זה מאוד האמריקאים פתאום זה
[827] 37:06 | בא להם ככזה וואו כאילו שאתה מאכיל אותם
[828] 37:08 | ביד הם הם לא קולטים איך הדבר הזה קורה.
[829] 37:11 | אני אף פעם לא הייתי באירוע שלהם בארץ.
[830] 37:13 | אני מודה שאני לא מחובבי הז'נר בעיקרון של
[831] 37:16 | מה של הקונספט.
[832] 37:17 | >> סעודות הבשרים המוגזמות נקרא לזה פחות
[833] 37:19 | הקטע שלי. כנראה שלא פגשתי את הנכונה
[834] 37:22 | עדיין אולי צריך לנסות
[835] 37:26 | >> לאן? לאיזה פיט מסטר אני אגיע קודם?
[836] 37:27 | למיאמי או לפתח תקווה?
[837] 37:29 | >> מה אתם אומרים?
[838] 37:30 | >> אה
[839] 37:31 | >> שיהיה להם המון בהצלחה. זה נשמע זה נשמע
[840] 37:33 | מצוין.
[841] 37:34 | >> מגני.
[842] 37:34 | >> אה טיסט אטלס.
[843] 37:36 | >> איך אתם אוהבים אותם?
[844] 37:37 | >> יאללה. אבל הם עושים עבוד, הם עושים עבודה
[845] 37:40 | מעולה. א אז אנחנו מדברים הרבה על הדרוגים
[846] 37:42 | של טיסטא אטלס שמצליחים להיות וירלים
[847] 37:44 | ומעניינים. בדרך כלל זה בהקשרים חיוביים.
[848] 37:45 | אז הפעם הם פרסמו דרוג של 100 אמנות הכי
[849] 37:48 | פחות אהובות בעולם או בלשון פחות מכובסת.
[850] 37:53 | >> המנות האגרועות בעולם. נקודה.
[851] 37:54 | >> אני רציתי להגיד המנות המגעילות אבל א אבל
[852] 37:57 | בסדר
[853] 37:58 | >> אני כאילו בתרגום חופשי. ודאי שזה המנות
[854] 38:00 | המגעילות אבל war ratedד כאילו האמנות
